YR,MO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1989,6,0,0,T,0,0,0,0,0,0,0,0,0,5,31,0,0,T,4,19,T,0,0,0,0,0,0,T,T,19,T
1990,6,1,9,44,3,1,55,T,6,43,9,7,14,T,1,0,T,0,0,0,0,0,T,T,0,0,0,T,1,0,T
1991,6,0,0,0,0,T,8,T,0,0,0,0,5,21,T,T,1,0,0,43,139,5,T,0,T,T,0,0,T,9,0
1992,6,0,0,0,0,0,0,0,0,T,0,T,18,T,0,0,T,0,0,0,0,0,0,0,0,0,0,0,2,40,0
1993,6,20,T,T,6,13,2,3,0,11,6,20,T,T,13,T,0,0,0,0,0,18,47,T,0,0,0,T,10,0,0
1994,6,0,0,7,1,3,92,25,0,0,0,0,5,8,19,0,0,2,1,0,0,0,0,T,0,T,4,0,0,0,0
1995,6,0,0,0,54,25,T,0,0,0,10,0,2,15,15,36,T,24,54,27,T,0,0,0,0,0,0,0,0,0,0
1996,6,0,0,0,0,0,T,0,0,T,T,0,T,0,0,0,0,T,2,T,0,0,3,21,14,0,0,0,4,0,0
1997,6,3,7,70,47,T,0,0,0,0,0,39,2,0,0,0,0,T,T,0,0,13,39,2,0,0,0,0,7,0,54
1998,6,0,0,0,0,0,0,0,0,9,41,0,0,0,T,10,1,0,2,0,0,0,0,2,48,28,32,0,0,0,0
1999,6,2,0,0,2,2,29,16,3,2,0,0,T,T,0,0,T,0,3,0,20,7,T,0,67,19,0,0,T,0,1
2000,6,0,0,0,0,T,7,21,T,9,26,40,16,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,21,8,10,5,21,0,0,2,9,1,31,4,0,0,0,0,0,0,0,0,0,0,0,16,0,28,21,2,0,0
2002,6,0,0,T,1,T,0,1,5,0,0,0,0,0,0,0,0,47,8,0,0,0,0,0,0,0,0,T,91,4,T
2003,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,T,0,12,6,2,0,0,0,0,0,0,0,T
2004,6,0,0,0,0,15,34,8,37,14,4,T,T,T,T,0,0,0,T,0,0,0,T,T,0,0,0,0,0,0,0
2005,6,21,1,0,T,22,1,15,0,0,8,10,T,T,3,0,62,5,0,15,0,0,15,0,0,0,8,35,0,0,T
2006,6,41,4,17,3,0,0,0,T,0,T,0,8,T,6,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,6,0,0,0,T,39,T,1,0,37,1,1,0,0,T,1,2,T,0,0,0,0,T,T,16,0,0,0,7,3,0
2008,6,1,6,71,3,7,4,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,T,0
2009,6,0,1,T,8,16,0,0,0,0,5,0,T,T,0,0,0,0,1,96,2,1,0,0,0,0,0,0,0,0,0
2010,6,22,67,27,45,0,148,1,14,27,32,0,0,0,0,38,3,0,T,1,2,0,0,0,0,0,0,0,0,0,0
2011,6,34,7,0,0,T,0,1,T,0,T,0,T,T,0,2,0,0,17,2,T,0,0,0,0,0,0,3,7,T,T
2012,6,7,1,1,56,22,0,48,63,T,0,0,26,0,0,0,T,0,16,2,0,0,8,79,11,2,35,0,T,T,33
